"","province_code","house_cat","year","month","n","median","mean","stand_dev","variance","IQR","q25","q75","median_scaled","date"
"1824","sulawesi-selatan","B",2016,3,1175,6510416.66666667,6676372.94729161,2561649.46472462,6562047980123.93,2953703.7037037,4916666.66666667,7870370.37037037,97.3857340720222,Mar 2016
"1825","sulawesi-selatan","B",2016,4,1269,7500000,7100206.33881701,2699878.3070827,7289342873055.75,3346153.84615385,5e+06,8346153.84615385,112.18836565097,Apr 2016
"1826","sulawesi-selatan","B",2016,5,1640,7500000,7346178.44898389,2753805.67902944,7583445717854.77,3577380.95238095,5089285.71428571,8666666.66666667,112.18836565097,May 2016
"1827","sulawesi-selatan","B",2016,6,939,7778571.42857143,7332341.05749867,2665896.0669275,7107001839659.52,3744047.61904762,4922619.04761905,8666666.66666667,116.355362089434,Jun 2016
"1828","sulawesi-selatan","B",2016,7,977,7457142.85714286,7199795.78909257,2545956.80092593,6481896032180.99,3250000,5250000,8500000,111.547289275821,Jul 2016
"1829","sulawesi-selatan","B",2016,8,1753,6458333.33333333,6906065.15234537,2506525.59376387,6282670552193.33,2964285.71428571,5250000,8214285.71428571,96.606648199446,Aug 2016
"1830","sulawesi-selatan","B",2016,9,1149,7428571.42857143,7125228.66065868,2595361.95837414,6735903694975.66,3096153.84615385,5250000,8346153.84615385,111.119905025722,Sep 2016
"1831","sulawesi-selatan","B",2016,10,1491,7894736.84210526,7450973.45097051,2533921.33403686,6420757327087.15,3343935.69393569,5363756.61375661,8707692.30769231,118.093016474705,Oct 2016
"1832","sulawesi-selatan","B",2016,11,1191,7916666.66666667,7503684.71336509,2656613.18328323,7057593605594.25,3726190.47619048,5416666.66666667,9142857.14285714,118.421052631579,Nov 2016
"1833","sulawesi-selatan","B",2016,12,775,7916666.66666667,7312956.73403873,2731553.33306908,7461383611400.79,2979691.8767507,5294117.64705882,8273809.52380952,118.421052631579,Dec 2016
"1834","sulawesi-selatan","B",2017,1,847,7500000,7437210.30859173,3030198.82518999,9182104920182.81,4006656.42601126,5160010.2406554,9166666.66666667,112.18836565097,Jan 2017
